"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"359","Alec Burks",412,109,63,18,4,197,35,51,31,6.22071837822871,9213484,"SG"
"360","Elijah Millsap",36,35,19,7,3,28,5,9,20,2.13165672809543,362878,"SG"
"361","Rodney Hood",1149,267,213,73,16,564,28,125,79,6.10148929411747,1348440,"SG"
"362","Ben McLemore",531,148,79,52,10,260,29,99,68,4.14311750306522,3156600,"SG"
"363","James Anderson",179,86,41,21,14,111,7,42,51,2.61602343340593,1015421,"SG"
"364","Marco Belinelli",696,117,127,37,2,390,23,80,68,4.0736684837153,6333333,"SG"
"365","Gary Harris",932,220,147,97,18,406,24,98,76,5.45747723529095,1587480,"SG"
"366","Will Barton",1178,476,203,71,39,558,52,139,82,7.41425118881817,3333333,"SG"
"367","Bryce Dejean-Jones",79,48,15,10,2,41,10,11,14,4.12166458412634,281659,"SG"
"368","Eric Gordon",686,99,121,43,14,321,14,73,45,5.95345857575667,15514031,"SG"
"369","Orlando Johnson",10,6,2,1,0,13,1,3,5,1.69750611090855,55722,"SG"
"370","Tyreke Evans",379,129,164,32,8,178,19,73,25,9.31734975185756,11227000,"SG"
"371","Zach LaVine",1150,228,251,69,17,526,42,155,82,6.13904470090085,2148360,"SG"
"372","Brandon Knight",1018,202,263,61,20,524,27,177,52,9.28608745673964,12000000,"SG"
"373","Devin Booker",1048,187,200,44,20,500,41,160,76,5.9427335810896,2127840,"SG"
"374","John Jenkins",109,35,26,5,1,48,3,16,22,2.2498877488845,981000,"SG"
"375","Jordan Clarkson",1225,313,192,88,7,623,40,135,79,6.59874044941401,845059,"SG"
"376","Lou Williams",1028,169,167,62,19,410,72,107,67,6.57900296554402,7000000,"SG"
"377","Nick Young",392,97,34,23,7,246,13,30,54,2.99882705337256,5219169,"SG"
"378","Jordan McRae",62,12,15,0,1,29,4,9,15,1.40422275535804,172972,"PG"
"379","Kyrie Irving",1041,157,249,56,18,485,22,124,53,6.31760801592969,14746000,"PG"
"380","Matthew Dellavedova",569,162,337,44,9,304,9,116,76,3.45427450713318,1147280,"PG"
"381","Mo Williams",338,72,98,14,5,170,4,57,41,2.8902222383274,2100000,"PG"
"382","Delon Wright",103,37,31,8,3,44,9,16,27,1.81711227017612,1509360,"PG"
"383","Kyle Lowry",1634,365,494,158,34,686,93,225,77,8.73706417731636,12000000,"PG"
"384","Beno Udrih",158,63,90,11,0,86,2,42,36,2.11889566506373,2170465,"PG"
"385","Briante Weber",2,1,1,0,0,0,0,0,1,0.525353792191918,12355,"PG"
"386","Goran Dragic",1018,277,419,71,17,458,45,185,72,6.05904164951384,14780000,"PG"
"387","Dennis Schroder",879,204,349,70,9,452,38,183,80,4.75012048670748,1763400,"PG"
"388","Jeff Teague",1239,214,470,97,24,554,51,218,79,6.31780569810882,8000000,"PG"
"389","Kirk Hinrich",5,12,14,2,1,9,0,3,11,0.963648298790664,2870000,"PG"
"390","Isaiah Thomas",1823,243,509,91,9,791,70,220,82,6.96628283473302,6912869,"PG"
"391","Marcus Smart",558,255,185,91,18,345,37,80,61,5.23547304839972,3431040,"PG"
"392","Terry Rozier",72,63,37,6,1,77,2,19,39,1.30549651496366,1824360,"PG"
"393","Jorge Gutierrez",22,7,17,3,0,5,1,6,12,0.956918794273005,301444,"PG"
"394","Kemba Walker",1689,357,421,126,39,763,67,171,81,7.62922227388402,12000000,"PG"
"395","George Hill",894,298,259,83,17,413,36,101,74,5.02397339452651,8000000,"PG"
"396","Rodney Stuckey",517,156,142,43,8,260,27,76,58,3.7659355753353,6500000,"PG"
"397","Ty Lawson",64,31,57,10,1,39,3,13,13,3.1709554519559,265058,"PG"
"398","Reggie Jackson",1489,253,492,59,11,704,46,223,79,6.36739051376626,14000000,"PG"
"399","Spencer Dinwiddie",58,17,22,3,0,35,14,7,12,2.63638785205927,845059,"PG"
"400","Steve Blake",254,89,200,24,5,147,4,81,58,2.51960080513931,2170465,"PG"
"401","Aaron Brooks",491,101,180,30,10,281,15,82,69,2.88092990261775,2000000,"PG"
"402","Derrick Rose",1080,225,311,44,14,601,37,175,66,6.0302822585152,20093063,"PG"
