"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"98","Udonis Haslem",59,75,14,5,2,38,4,5,37,1.09399483826436,2854940,"PF"
"99","Kris Humphries",134,71,13,10,7,54,13,14,21,3.36847936560616,388025,"PF"
"100","Mike Scott",464,206,78,25,17,200,13,42,75,2.71858531469021,3333333,"PF"
"101","Paul Millsap",1385,732,265,147,139,565,99,191,81,10.7087316411283,19000000,"PF"
"102","Amir Johnson",577,505,138,52,83,177,52,94,79,5.30368818348344,12000000,"PF"
"103","David Lee",214,130,54,12,13,105,11,38,30,4.29490250355869,15493680,"PF"
"104","Jared Sullinger",834,673,187,75,47,455,58,102,81,6.61634834607646,2269260,"PF"
"105","Jonas Jerebko",340,288,62,20,24,168,17,52,78,2.6512769953942,5000000,"PF"
"106","Jordan Mickey",21,13,1,0,11,14,5,1,16,1.20046767272472,1200000,"PF"
"107","Marvin Williams",948,521,110,58,77,409,24,62,81,5.36323407136166,7000000,"PF"
"108","Spencer Hawes",340,244,109,22,27,182,11,58,57,3.8728433851172,5543725,"PF"
"109","Tyler Hansbrough",104,89,8,12,7,39,27,12,44,1.82233086796664,1185784,"PF"
"110","Lavoy Allen",428,424,76,26,42,179,27,69,79,3.54714230479737,3700000,"PF"
"111","Rakeem Christmas",4,1,0,0,0,0,0,0,1,0.453371898193288,1000000,"PF"
"112","Shayne Whittington",11,12,3,1,1,6,1,5,7,1.53205910992202,845059,"PF"
"113","Anthony Tolliver",383,229,52,26,16,204,18,28,72,2.62034368086502,3000000,"PF"
"114","Justin Harper",13,1,0,1,0,6,1,2,5,1.08675110179204,99418,"PF"
"115","Tobias Harris",447,168,70,18,12,182,8,30,27,6.21079719491928,16000000,"PF"
"116","Bobby Portis",436,337,52,25,22,250,18,54,62,3.84033607538405,1391160,"PF"
"117","Nikola Mirotic",777,362,100,58,46,361,35,102,66,6.07640054001055,5543725,"PF"
"118","Taj Gibson",627,504,106,47,77,237,45,78,73,5.42008961366662,8500000,"PF"
"119","Drew Gooden",82,85,13,8,11,70,5,13,30,2.15648997146367,3300000,"PF"
"120","Jared Dudley",638,286,170,75,18,254,26,80,81,4.42203491607687,4250000,"PF"
"121","Markieff Morris",335,158,37,25,17,153,13,45,27,6.20698959945234,8000000,"PF"
"122","Nene Hilario",525,259,97,54,26,175,78,76,57,5.89198982571978,13000000,"PF"
"123","Aaron Gordon",719,507,128,59,55,305,64,66,78,5.47448096410381,4171680,"PF"
"124","Andrew Nicholson",384,201,25,10,22,164,14,41,56,2.89399751995031,2380594,"PF"
"125","Ersan Ilyasova",178,121,12,14,6,89,13,12,22,4.06040349279525,7900000,"PF"
"126","Jabari Parker",1070,395,130,69,29,456,53,116,76,6.29939334531182,5152440,"PF"
"127","Johnny O'Bryant",200,176,32,18,8,123,13,31,66,1.97416673851838,845059,"PF"
"128","Steve Novak",7,1,0,0,0,4,0,0,3,0.451564230504598,416886,"PF"
"129","Kristaps Porzingis",1028,526,93,53,134,513,39,121,72,7.53450435509252,4131720,"PF"
"130","Kyle O'Quinn",309,250,72,20,49,142,14,61,65,3.36641323843384,3750000,"PF"
"131","Lance Thomas",484,131,53,22,7,213,17,57,59,3.24728687905792,1650000,"PF"
"132","Lou Amundson",52,49,12,6,7,34,13,15,29,1.86476515600789,1650000,"PF"
"133","Chris McCullough",112,68,9,28,12,65,12,15,24,3.79399181779953,1140240,"PF"
"134","Thaddeus Young",1102,660,135,112,37,468,58,136,73,8.13125756724336,11200000,"PF"
"135","Thomas Robinson",307,359,46,39,36,161,62,69,71,4.06333101919086,981300,"PF"
"136","Willie Reed",182,122,10,6,30,57,25,16,39,2.7166470737985,947276,"PF"
"137","Carl Landry",351,146,32,12,9,111,24,22,36,3.69707536310222,6500000,"PF"
"138","Christian Wood",61,38,3,5,7,31,8,2,17,2.0716467232774,305789,"PF"
"139","Richaun Holmes",287,135,33,19,40,108,23,32,51,3.16980863942193,1050000,"PF"
"140","Draymond Green",1131,769,598,119,113,418,100,259,81,11.5830511910424,14300000,"PF"
"141","James Michael McAdoo",117,58,17,10,8,39,23,16,41,1.88280309493446,845059,"PF"
"142","Kevon Looney",9,10,0,0,0,3,0,1,5,0.6807810758757,1131960,"PF"
"143","Boris Diaw",485,233,176,26,21,181,20,97,76,3.76692478271883,7000000,"PF"
"144","David West",554,309,143,44,55,204,17,68,78,4.0555209560349,1499000,"PF"
"145","LaMarcus Aldridge",1331,632,110,38,81,509,43,99,74,7.04924648205397,19500000,"PF"
"146","Josh Huestis",14,10,0,1,2,7,4,3,5,2.36589176365956,1140240,"PF"
"147","Mitch McGary",26,18,3,1,2,12,6,7,20,1.01528787201476,1463040,"PF"
"148","Nick Collison",123,171,52,15,16,59,10,50,59,2.24517928022494,3750000,"PF"
"149","Serge Ibaka",983,533,66,38,148,453,30,108,78,6.39521681377016,12350000,"PF"
"150","Alex Stepheson",2,2,0,0,2,0,2,0,4,0.91326536746244,61776,"PF"
"151","Blake Griffin",749,294,170,28,17,302,53,83,35,10.0800808435711,18907725,"PF"
"152","Branden Dawson",5,4,0,0,1,3,0,0,6,0.367824989566107,525093,"PF"
"153","Luc Mbah a Moute",231,171,30,44,19,113,27,34,75,2.38079576223251,1270964,"PF"
"154","Cliff Alexander",10,6,0,1,2,5,0,1,8,0.706788129278543,525093,"PF"
"155","Ed Davis",526,599,88,57,72,131,90,64,81,5.13446624456705,7000000,"PF"
"156","Meyers Leonard",511,314,92,8,18,240,11,77,61,3.94809904600218,3075880,"PF"
"157","Noah Vonleh",283,305,30,27,26,161,13,50,78,2.52826098827516,2637720,"PF"
"158","Charlie Villanueva",319,152,24,18,15,202,2,31,62,2.28231076890753,1499187,"PF"
"159","Dirk Nowitzki",1372,489,132,52,52,614,30,84,75,6.66202465512866,8333334,"PF"
"160","Dwight Powell",399,273,44,36,24,150,37,40,69,3.2746920273197,845059,"PF"
"161","Brandan Wright",83,43,6,5,15,17,11,10,12,4.1747654231877,5500000,"PF"
"162","JaMychal Green",578,373,67,46,33,265,34,83,78,4.17003792667168,845059,"PF"
"163","Jarell Martin",153,86,15,8,7,62,17,19,27,3.01474894968547,1230840,"PF"
"164","Zach Randolph",1040,529,142,43,13,476,44,105,68,6.62778417405343,9638555,"PF"
"165","Donatas Motiejunas",230,109,41,17,5,115,19,44,37,3.64728698306658,2288205,"PF"
"166","Josh Smith",151,67,48,16,13,111,13,36,23,5.13163114421503,1499000,"PF"
"167","Montrezl Harrell",140,65,17,11,11,32,22,17,39,2.09672979851058,1000000,"PF"
"168","Terrence Jones",434,211,41,23,39,201,39,49,50,4.63930750420905,2489530,"PF"
"169","Derrick Favors",1016,503,94,74,91,393,74,104,62,8.52382822256316,11933333,"PF"
"170","Trevor Booker",463,452,84,59,41,198,35,81,79,4.32346362677063,4775000,"PF"
"171","Trey Lyles",488,299,59,26,18,245,25,65,80,3.11958811955824,2239800,"PF"
"172","Eric Moreland",8,11,1,0,4,3,2,3,8,1.22528727970261,845059,"PF"
"173","Quincy Acy",307,188,27,29,24,95,18,27,59,2.68087549273815,981348,"PF"
"174","Darrell Arthur",527,293,96,53,48,268,13,66,70,4.38127355047195,2814000,"PF"
"175","Kenneth Faried",835,581,79,32,60,277,86,91,67,6.54948597849123,11235955,"PF"
"176","Anthony Davis",1481,627,116,78,125,576,104,121,61,11.2637224052967,7070730,"PF"
"177","Ryan Anderson",1124,396,73,38,25,532,29,90,66,6.11060227963793,8500000,"PF"
"178","Adreian Payne",132,111,29,16,11,92,9,36,52,2.09553961789399,1938840,"PF"
"179","Greg Smith",43,42,6,4,1,14,10,7,18,1.80574402663572,247623,"PF"
"180","Kevin Garnett",122,150,62,28,10,61,7,16,38,3.04841790683492,8500000,"PF"
"181","Nemanja Bjelica",308,210,83,26,21,125,15,47,60,3.18074636568201,4000000,"PF"
"182","Alan Williams",29,38,5,4,5,14,5,6,10,2.82349254233776,114285,"PF"
"183","Cory Jefferson",22,16,0,0,1,13,2,0,8,1.09846856083338,421449,"PF"
"184","Jon Leuer",567,373,72,38,30,242,24,75,67,4.4395042659853,1035000,"PF"
"185","Mirza Teletovic",965,302,89,32,21,445,35,84,79,4.55249896799303,5500000,"PF"
"186","Brandon Bass",473,285,74,33,55,143,23,42,66,3.78585337348198,3000000,"PF"
"187","Julius Randle",919,829,144,53,29,477,77,149,81,7.03275629906591,3132240,"PF"
"188","Larry Nance Jr.",349,312,44,54,23,142,15,41,63,3.58434546200484,1155600,"PF"
"189","Ryan Kelly",152,121,20,13,10,94,17,18,36,2.78680988552113,1724250,"PF"
"190","Dahntay Jones",13,5,2,1,2,8,0,0,1,5.85636910077785,8819,"SF"
"191","James Jones",178,50,14,11,10,84,5,13,48,1.34923794884444,1499000,"SF"
"192","LeBron James",1920,565,514,104,49,679,132,249,76,11.148868508385,22971000,"SF"
"193","Richard Jefferson",410,128,59,33,14,169,29,43,74,2.39118052574567,1499000,"SF"
"194","Bruno Caboclo",3,2,1,2,1,11,0,4,6,1.12105940620749,1524000,"SF"
"195","DeMarre Carroll",286,122,27,44,6,165,20,28,26,5.52811131583694,13500000,"SF"
"196","Terrence Ross",720,185,56,54,25,356,13,46,73,3.37087265184361,3553917,"SF"
"197","Joe Johnson",321,68,86,21,2,121,8,43,24,5.14335530648783,414481,"SF"
"198","Justise Winslow",502,403,117,68,26,267,37,95,78,4.3228224074967,2481720,"SF"
"199","Kent Bazemore",872,379,171,98,38,405,28,138,75,5.8281385333525,2000000,"SF"
"200","Thabo Sefolosha",480,334,107,85,37,184,37,68,75,4.17765226631741,4000000,"SF"
"201","Coty Clarke",6,1,0,0,0,2,0,1,3,0.465258835074515,61776,"SF"
"202","Jae Crowder",1038,373,135,126,35,453,43,83,73,6.12032217780686,6000000,"SF"
"203","Michael Kidd-Gilchrist",89,45,9,3,3,28,9,8,7,5.45816686621624,6331404,"SF"
"204","Nicolas Batum",1046,428,403,65,43,501,29,205,70,7.94493200794793,12235750,"SF"
"205","C.J. Miles",753,175,63,53,29,375,31,70,64,4.40176326836035,4394225,"SF"
"206","Chase Budinger",216,121,49,29,9,113,14,31,49,2.55859748968145,5000000,"SF"
"207","Glenn Robinson",171,68,26,17,9,86,12,18,45,1.86862670689989,845000,"SF"
"208","Paul George",1874,563,329,152,29,844,74,265,81,9.73934847520261,17120106,"SF"
"209","Solomon Hill",246,166,57,37,11,115,6,33,59,2.37328363488198,1358880,"SF"
"210","Marcus Morris",1131,404,201,67,23,535,68,140,80,6.13789023809069,5000000,"SF"
"211","Reggie Bullock",122,68,27,10,2,55,1,8,37,1.38822072920484,1252440,"SF"
"212","Stanley Johnson",593,306,118,55,12,375,22,114,73,4.3346822370747,2841960,"SF"
"213","Doug McDermott",764,195,59,14,6,353,12,53,81,2.6082694577164,2380440,"SF"
"214","Mike Dunleavy",222,83,39,14,10,111,8,26,31,3.13097440813642,4500000,"SF"
"215","Tony Snell",338,199,63,16,17,213,3,52,64,2.58634555091297,1535880,"SF"
"216","Garrett Temple",582,212,140,69,18,304,34,64,80,3.66068327323712,1100602,"SF"
"217","Jarell Eddie",63,23,5,5,1,45,0,1,26,0.836652126075,561716,"SF"
"218","Kelly Oubre",236,133,13,22,7,121,18,34,63,1.87727374963141,1920240,"SF"
"219","Otto Porter",871,391,120,105,32,378,31,70,75,5.19030505922898,4662960,"SF"
"220","Evan Fournier",1213,225,213,96,2,500,39,133,79,5.49445763333656,2288205,"SF"
"221","Mario Hezonja",478,176,109,39,17,237,5,97,79,2.88713076499455,3741480,"SF"
"222","Damien Inglis",36,31,10,6,3,24,1,11,20,1.40382101883171,855000,"SF"
"223","Carmelo Anthony",1573,556,299,62,38,740,69,176,72,8.84436613520529,22875000,"SF"
"224","Cleanthony Early",31,26,6,2,3,28,1,9,17,1.31236698941933,845059,"SF"
"225","Derrick Williams",746,296,75,29,9,311,62,61,80,3.63396447150203,4900000,"SF"
"226","Thanasis Antetokounmpo",6,1,0,0,0,1,0,0,2,0.371404079182321,105888,"SF"
"227","Bojan Bogdanovic",887,255,99,29,5,425,22,115,79,3.84889737659255,3425510,"SF"
"228","Rondae Hollis-Jefferson",167,154,43,39,16,75,15,26,29,4.55465945193441,1335480,"SF"
"229","Sergey Karasev",97,58,35,6,2,44,2,22,40,1.33861624598816,1599840,"SF"
"230","JaKarr Sampson",240,129,30,11,16,116,35,51,47,3.08086719999844,845059,"SF"
"231","Jerami Grant",749,361,135,54,127,348,110,110,77,6.51439119744314,845059,"SF"
"232","Robert Covington",858,419,97,105,40,438,37,143,67,6.6324765283459,1000000,"SF"
"233","Sonny Weems",17,12,2,0,0,14,1,4,7,1.30222907201437,2800000,"SF"
"234","Andre Iguodala",457,263,219,73,19,192,32,79,65,4.78216494491114,11710456,"SF"
"235","Harrison Barnes",774,325,117,41,10,338,32,57,66,4.47118373824205,3873398,"SF"
"236","Kawhi Leonard",1523,493,186,128,71,539,42,105,72,7.90557138305207,16500000,"SF"
"237","Kyle Anderson",350,244,123,60,29,157,21,59,78,3.13764173412657,1142879,"SF"
"238","Rasual Butler",124,56,24,13,23,55,5,8,46,1.51596887827599,1499187,"SF"
"239","Kevin Durant",2029,589,361,69,85,683,51,250,72,10.3398404445253,20158622,"SF"
"240","Kyle Singler",231,141,24,30,9,135,15,32,68,1.88791327543723,5000000,"SF"
"241","Jeff Green",293,91,40,18,21,153,25,24,27,5.01090200883351,9200000,"SF"
"242","Paul Pierce",417,186,71,33,17,253,12,58,68,2.93602447917941,3400000,"SF"
"243","Wesley Johnson",549,248,49,89,56,307,16,54,80,3.6632096321818,1100600,"SF"
"244","Al-Farouq Aminu",839,499,138,72,53,420,41,120,82,5.45011070002578,7500000,"SF"
"245","Maurice Harkless",498,280,67,49,35,216,42,62,78,3.47442199753003,2894059,"SF"
"246","Chandler Parsons",837,285,169,46,21,331,43,95,61,5.67845131797032,15361500,"SF"
"247","Jeremy Evans",71,54,2,6,9,22,6,7,30,1.31042273118828,1100602,"SF"
"248","Justin Anderson",208,132,29,19,25,104,11,24,55,2.15446845727058,1449000,"SF"
"249","James Ennis",16,7,2,4,2,9,4,2,10,1.33427798354852,845059,"SF"
"250","Lance Stephenson",369,115,73,19,6,162,15,46,26,5.6801937603962,9000000,"SF"
"251","Matt Barnes",758,420,163,78,57,429,27,121,76,5.6538470663092,3542500,"SF"
"252","P.J. Hairston",124,46,9,8,4,86,6,17,18,3.08403392383999,1201440,"SF"
"253","Corey Brewer",590,199,109,84,19,340,35,78,82,3.73618725520701,8200000,"SF"
"254","K.J. McDaniels",89,42,10,7,6,43,6,17,37,1.27240827394811,3333333,"SF"
"255","Michael Beasley",255,98,16,11,9,98,11,24,20,4.61463483715848,306527,"SF"
"256","Sam Dekker",0,1,0,1,0,0,0,0,3,0.303956664126635,1646400,"SF"
"257","Trevor Ariza",1025,366,188,160,26,502,35,113,81,6.08447035005886,8193030,"SF"
"258","Chris Johnson",205,132,45,32,20,122,8,40,70,1.95089094721399,981348,"SF"
"259","Gordon Hayward",1578,397,296,95,27,681,84,202,80,7.96669786033322,15409570,"SF"
"260","J.J. O'Brien",0,1,0,1,0,1,0,0,2,0.53068607031823,105888,"SF"
"261","Joe Ingles",342,151,96,55,4,167,5,65,81,2.28831512817587,2250000,"SF"
"262","Caron Butler",63,22,10,9,1,34,2,3,17,1.59043469741134,1499187,"SF"
"263","Duje Dukan",6,4,1,1,0,8,0,0,1,3.39750676793259,525093,"SF"
"264","Omri Casspi",813,410,95,56,17,323,56,94,69,5.2478242523258,3000000,"SF"
"265","Rudy Gay",1204,456,120,100,51,541,56,139,70,7.37770215324259,12403101,"SF"
"266","Axel Toupane",76,31,15,7,6,45,4,6,21,1.83154531721618,123552,"SF"
"267","Danilo Gallinari",1036,281,135,42,19,413,57,77,53,6.7926182862631,14000000,"SF"
"268","Kostas Papanikolaou",67,40,16,13,5,42,5,21,26,1.98045516441561,350000,"SF"
"269","Mike Miller",63,53,40,13,4,40,0,17,47,1.13540245733331,1499187,"SF"
"270","Alonzo Gee",325,245,72,63,13,123,22,55,73,2.90588809428439,1375000,"SF"
"271","Dante Cunningham",484,236,77,42,33,226,25,41,80,2.91711787835067,3000000,"SF"
"272","Jordan Hamilton",125,62,25,8,3,67,7,17,11,5.52902354054936,119462,"SF"
"273","Luke Babbitt",327,148,53,11,7,167,11,23,47,2.68656843431747,1100000,"SF"
"274","Andrew Wiggins",1675,292,164,78,46,700,135,182,81,7.70973510896635,5758680,"SF"
"275","Damjan Rudez",75,20,11,3,1,37,0,13,33,0.822215088652056,1149500,"SF"
"276","Shabazz Muhammad",863,267,52,24,7,364,57,70,82,3.52030979303283,2056920,"SF"
"277","Tayshaun Prince",221,147,73,36,13,127,6,27,77,1.80354562192976,1499187,"SF"
"278","P.J. Tucker",652,512,177,106,20,343,36,111,82,5.21483448128449,5500000,"SF"
"279","T.J. Warren",515,147,44,37,16,220,19,32,47,3.84339515013192,2041080,"SF"
"280","Anthony Brown",115,70,19,14,5,87,3,15,29,2.2121694696889,700000,"SF"
"281","Kobe Bryant",1161,247,184,62,13,715,49,129,66,6.81375120845033,25000000,"SF"
"282","Metta World Peace",176,89,27,22,11,122,17,15,35,2.92432089810529,1499187,"SF"
"283","Iman Shumpert",311,203,92,54,19,191,11,57,54,4.63438962402515,9000000,"SG"
"284","J.R. Smith",955,217,130,81,21,497,26,59,77,5.17616309012712,5000000,"SG"
"285","Cory Joseph",677,210,250,63,20,328,41,102,80,5.07417122564632,7000000,"SG"
"286","DeMar DeRozan",1830,349,315,81,21,763,98,175,78,9.30887830632502,9500000,"SG"
"287","Norman Powell",273,111,47,29,10,132,10,32,49,3.07939933897512,650000,"SG"
"288","Dwyane Wade",1409,302,344,79,42,643,84,203,74,9.4802565600084,20000000,"SG"
"289","Gerald Green",616,163,56,38,19,357,20,46,69,3.85498167342677,1356000,"SG"
"290","Josh Richardson",341,107,73,36,25,149,21,35,52,3.94760652275284,525093,"SG"
"291","Tyler Johnson",314,109,79,24,14,125,13,47,36,4.81866072764074,845059,"SG"
